"Tabela 185 - Domicílios particulares permanentes por situação e número de moradores"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Brasil e Município";"Número de moradores";"Ano x Situação do domicílio"
"Cód.";"Brasil e Município";"Número de moradores";"2010"
"Cód.";"Brasil e Município";"Número de moradores";"Urbana"
"1302306";"Jutaí (AM)";"Total";"61,07"
"1302405";"Lábrea (AM)";"Total";"64,95"
"1302504";"Manacapuru (AM)";"Total";"71,58"
"1302553";"Manaquiri (AM)";"Total";"31,52"
"1302603";"Manaus (AM)";"Total";"99,46"
"1302702";"Manicoré (AM)";"Total";"45,29"
"1302801";"Maraã (AM)";"Total";"49,95"
"1302900";"Maués (AM)";"Total";"51,23"
"1303007";"Nhamundá (AM)";"Total";"38,24"
"1303106";"Nova Olinda do Norte (AM)";"Total";"50,90"
"1303205";"Novo Airão (AM)";"Total";"66,02"
"1303304";"Novo Aripuanã (AM)";"Total";"62,80"
"1303403";"Parintins (AM)";"Total";"69,34"
"1303502";"Pauini (AM)";"Total";"57,76"
"1303536";"Presidente Figueiredo (AM)";"Total";"46,62"
"1303569";"Rio Preto da Eva (AM)";"Total";"47,33"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"46,62"
"1303700";"Santo Antônio do Içá (AM)";"Total";"54,53"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"53,93"
"1303908";"São Paulo de Olivença (AM)";"Total";"46,11"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"62,42"
"1304005";"Silves (AM)";"Total";"50,52"
"1304062";"Tabatinga (AM)";"Total";"76,08"
"1304104";"Tapauá (AM)";"Total";"58,86"
"1304203";"Tefé (AM)";"Total";"82,20"
"1304237";"Tonantins (AM)";"Total";"51,41"
"1304260";"Uarini (AM)";"Total";"58,49"
"1304302";"Urucará (AM)";"Total";"60,15"
"1304401";"Urucurituba (AM)";"Total";"58,18"
"1400027";"Amajari (RR)";"Total";"14,66"
"1400050";"Alto Alegre (RR)";"Total";"33,43"
"1400100";"Boa Vista (RR)";"Total";"98,15"
"1400159";"Bonfim (RR)";"Total";"36,38"
"1400175";"Cantá (RR)";"Total";"16,57"
"1400209";"Caracaraí (RR)";"Total";"60,08"
"1400233";"Caroebe (RR)";"Total";"42,00"
"1400282";"Iracema (RR)";"Total";"47,32"
"1400308";"Mucajaí (RR)";"Total";"59,91"
"1400407";"Normandia (RR)";"Total";"32,78"
"1400456";"Pacaraima (RR)";"Total";"54,53"
"1400472";"Rorainópolis (RR)";"Total";"49,47"
"1400506";"São João da Baliza (RR)";"Total";"72,95"
"1400605";"São Luiz (RR)";"Total";"63,96"
"1400704";"Uiramutã (RR)";"Total";"15,17"
"1500107";"Abaetetuba (PA)";"Total";"61,59"
"1500131";"Abel Figueiredo (PA)";"Total";"87,74"
"1500206";"Acará (PA)";"Total";"25,69"
"1500305";"Afuá (PA)";"Total";"29,27"
"1500347";"Água Azul do Norte (PA)";"Total";"18,96"
"1500404";"Alenquer (PA)";"Total";"55,02"
"1500503";"Almeirim (PA)";"Total";"61,10"
"1500602";"Altamira (PA)";"Total";"85,40"
"1500701";"Anajás (PA)";"Total";"39,79"
"1500800";"Ananindeua (PA)";"Total";"99,76"
"1500859";"Anapu (PA)";"Total";"47,84"
"1500909";"Augusto Corrêa (PA)";"Total";"46,36"
"1500958";"Aurora do Pará (PA)";"Total";"33,55"
"1501006";"Aveiro (PA)";"Total";"20,66"
"1501105";"Bagre (PA)";"Total";"48,77"
"1501204";"Baião (PA)";"Total";"50,71"
"1501253";"Bannach (PA)";"Total";"35,87"
"1501303";"Barcarena (PA)";"Total";"35,66"
"1501402";"Belém (PA)";"Total";"99,12"
"1501451";"Belterra (PA)";"Total";"44,92"
"1501501";"Benevides (PA)";"Total";"55,27"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"51,46"
"1501600";"Bonito (PA)";"Total";"28,60"
"1501709";"Bragança (PA)";"Total";"65,60"
"1501725";"Brasil Novo (PA)";"Total";"45,44"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"59,12"
"1501782";"Breu Branco (PA)";"Total";"57,57"
"1501808";"Breves (PA)";"Total";"55,15"
"1501907";"Bujaru (PA)";"Total";"33,87"
"1501956";"Cachoeira do Piriá (PA)";"Total";"23,41"
"1502004";"Cachoeira do Arari (PA)";"Total";"37,23"
"1502103";"Cametá (PA)";"Total";"46,49"
"1502152";"Canaã dos Carajás (PA)";"Total";"78,05"
"1502202";"Capanema (PA)";"Total";"81,16"
"1502301";"Capitão Poço (PA)";"Total";"44,12"
"1502400";"Castanhal (PA)";"Total";"89,04"
"1502509";"Chaves (PA)";"Total";"12,53"
"1502608";"Colares (PA)";"Total";"32,58"
"1502707";"Conceição do Araguaia (PA)";"Total";"70,52"
"1502756";"Concórdia do Pará (PA)";"Total";"59,05"
"1502764";"Cumaru do Norte (PA)";"Total";"28,26"
"1502772";"Curionópolis (PA)";"Total";"61,53"
"1502806";"Curralinho (PA)";"Total";"41,91"
"1502855";"Curuá (PA)";"Total";"49,70"
"1502905";"Curuçá (PA)";"Total";"35,56"
"1502939";"Dom Eliseu (PA)";"Total";"65,35"
"1502954";"Eldorado do Carajás (PA)";"Total";"54,29"
"1503002";"Faro (PA)";"Total";"74,62"
"1503044";"Floresta do Araguaia (PA)";"Total";"49,80"
"1503077";"Garrafão do Norte (PA)";"Total";"37,92"
"1503093";"Goianésia do Pará (PA)";"Total";"68,74"
"1503101";"Gurupá (PA)";"Total";"36,73"
"1503200";"Igarapé-Açu (PA)";"Total";"59,10"
"1503309";"Igarapé-Miri (PA)";"Total";"48,55"
"1503408";"Inhangapi (PA)";"Total";"27,31"
"1503457";"Ipixuna do Pará (PA)";"Total";"25,55"
"1503507";"Irituia (PA)";"Total";"22,73"
"1503606";"Itaituba (PA)";"Total";"72,92"
"1503705";"Itupiranga (PA)";"Total";"39,29"
"1503754";"Jacareacanga (PA)";"Total";"49,50"
"1503804";"Jacundá (PA)";"Total";"88,68"
"1503903";"Juruti (PA)";"Total";"35,38"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"26,94"
"1504059";"Mãe do Rio (PA)";"Total";"85,20"
"1504109";"Magalhães Barata (PA)";"Total";"48,04"
"1504208";"Marabá (PA)";"Total";"80,56"
"1504307";"Maracanã (PA)";"Total";"41,22"
"1504406";"Marapanim (PA)";"Total";"44,68"
"1504422";"Marituba (PA)";"Total";"98,84"
"1504455";"Medicilândia (PA)";"Total";"36,55"
