"Tabela 185 - Domicílios particulares permanentes por situação e número de moradores"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Brasil e Município";"Número de moradores";"Ano x Situação do domicílio"
"Cód.";"Brasil e Município";"Número de moradores";"2010"
"Cód.";"Brasil e Município";"Número de moradores";"Urbana"
"2412708";"São Pedro (RN)";"Total";"58,73"
"2412807";"São Rafael (RN)";"Total";"69,00"
"2412906";"São Tomé (RN)";"Total";"57,72"
"2413003";"São Vicente (RN)";"Total";"67,64"
"2413102";"Senador Elói de Souza (RN)";"Total";"46,05"
"2413201";"Senador Georgino Avelino (RN)";"Total";"98,85"
"2413300";"Serra de São Bento (RN)";"Total";"60,16"
"2413359";"Serra do Mel (RN)";"Total";"26,71"
"2413409";"Serra Negra do Norte (RN)";"Total";"65,55"
"2413508";"Serrinha (RN)";"Total";"34,34"
"2413557";"Serrinha dos Pintos (RN)";"Total";"53,86"
"2413607";"Severiano Melo (RN)";"Total";"37,97"
"2413706";"Sítio Novo (RN)";"Total";"50,46"
"2413805";"Taboleiro Grande (RN)";"Total";"81,88"
"2413904";"Taipu (RN)";"Total";"35,96"
"2414001";"Tangará (RN)";"Total";"71,25"
"2414100";"Tenente Ananias (RN)";"Total";"69,25"
"2414159";"Tenente Laurentino Cruz (RN)";"Total";"22,84"
"2414209";"Tibau do Sul (RN)";"Total";"63,99"
"2414308";"Timbaúba dos Batistas (RN)";"Total";"75,11"
"2414407";"Touros (RN)";"Total";"26,02"
"2414456";"Triunfo Potiguar (RN)";"Total";"69,36"
"2414506";"Umarizal (RN)";"Total";"85,46"
"2414605";"Upanema (RN)";"Total";"50,70"
"2414704";"Várzea (RN)";"Total";"83,38"
"2414753";"Venha-Ver (RN)";"Total";"32,65"
"2414803";"Vera Cruz (RN)";"Total";"45,06"
"2414902";"Viçosa (RN)";"Total";"95,22"
"2415008";"Vila Flor (RN)";"Total";"96,07"
"2500106";"Água Branca (PB)";"Total";"47,17"
"2500205";"Aguiar (PB)";"Total";"52,02"
"2500304";"Alagoa Grande (PB)";"Total";"64,12"
"2500403";"Alagoa Nova (PB)";"Total";"52,13"
"2500502";"Alagoinha (PB)";"Total";"67,17"
"2500536";"Alcantil (PB)";"Total";"40,70"
"2500577";"Algodão de Jandaíra (PB)";"Total";"52,45"
"2500601";"Alhandra (PB)";"Total";"63,03"
"2500700";"São João do Rio do Peixe (PB)";"Total";"38,68"
"2500734";"Amparo (PB)";"Total";"53,46"
"2500775";"Aparecida (PB)";"Total";"47,80"
"2500809";"Araçagi (PB)";"Total";"40,61"
"2500908";"Arara (PB)";"Total";"74,00"
"2501005";"Araruna (PB)";"Total";"51,51"
"2501104";"Areia (PB)";"Total";"64,07"
"2501153";"Areia de Baraúnas (PB)";"Total";"54,71"
"2501203";"Areial (PB)";"Total";"73,86"
"2501302";"Aroeiras (PB)";"Total";"52,04"
"2501351";"Assunção (PB)";"Total";"83,49"
"2501401";"Baía da Traição (PB)";"Total";"41,51"
"2501500";"Bananeiras (PB)";"Total";"41,32"
"2501534";"Baraúna (PB)";"Total";"77,54"
"2501575";"Barra de Santana (PB)";"Total";"10,12"
"2501609";"Barra de Santa Rosa (PB)";"Total";"60,22"
"2501708";"Barra de São Miguel (PB)";"Total";"44,83"
"2501807";"Bayeux (PB)";"Total";"99,11"
"2501906";"Belém (PB)";"Total";"84,45"
"2502003";"Belém do Brejo do Cruz (PB)";"Total";"74,72"
"2502052";"Bernardino Batista (PB)";"Total";"30,91"
"2502102";"Boa Ventura (PB)";"Total";"65,75"
"2502151";"Boa Vista (PB)";"Total";"52,49"
"2502201";"Bom Jesus (PB)";"Total";"43,63"
"2502300";"Bom Sucesso (PB)";"Total";"42,50"
"2502409";"Bonito de Santa Fé (PB)";"Total";"71,83"
"2502508";"Boqueirão (PB)";"Total";"72,80"
"2502607";"Igaracy (PB)";"Total";"69,60"
"2502706";"Borborema (PB)";"Total";"74,77"
"2502805";"Brejo do Cruz (PB)";"Total";"76,83"
"2502904";"Brejo dos Santos (PB)";"Total";"76,73"
"2503001";"Caaporã (PB)";"Total";"86,77"
"2503100";"Cabaceiras (PB)";"Total";"46,55"
"2503209";"Cabedelo (PB)";"Total";"99,99"
"2503308";"Cachoeira dos Índios (PB)";"Total";"37,77"
"2503407";"Cacimba de Areia (PB)";"Total";"48,40"
"2503506";"Cacimba de Dentro (PB)";"Total";"56,30"
"2503555";"Cacimbas (PB)";"Total";"26,44"
"2503605";"Caiçara (PB)";"Total";"73,33"
"2503704";"Cajazeiras (PB)";"Total";"82,06"
"2503753";"Cajazeirinhas (PB)";"Total";"33,62"
"2503803";"Caldas Brandão (PB)";"Total";"58,54"
"2503902";"Camalaú (PB)";"Total";"52,40"
"2504009";"Campina Grande (PB)";"Total";"95,56"
"2504033";"Capim (PB)";"Total";"73,92"
"2504074";"Caraúbas (PB)";"Total";"41,90"
"2504108";"Carrapateira (PB)";"Total";"70,00"
"2504157";"Casserengue (PB)";"Total";"51,52"
"2504207";"Catingueira (PB)";"Total";"62,13"
"2504306";"Catolé do Rocha (PB)";"Total";"74,79"
"2504355";"Caturité (PB)";"Total";"23,63"
"2504405";"Conceição (PB)";"Total";"64,57"
"2504504";"Condado (PB)";"Total";"71,29"
"2504603";"Conde (PB)";"Total";"67,89"
"2504702";"Congo (PB)";"Total";"63,94"
"2504801";"Coremas (PB)";"Total";"76,99"
"2504850";"Coxixola (PB)";"Total";"45,58"
"2504900";"Cruz do Espírito Santo (PB)";"Total";"46,47"
"2505006";"Cubati (PB)";"Total";"71,98"
"2505105";"Cuité (PB)";"Total";"68,84"
"2505204";"Cuitegi (PB)";"Total";"81,88"
"2505238";"Cuité de Mamanguape (PB)";"Total";"35,11"
"2505279";"Curral de Cima (PB)";"Total";"10,65"
"2505303";"Curral Velho (PB)";"Total";"58,80"
"2505352";"Damião (PB)";"Total";"49,42"
"2505402";"Desterro (PB)";"Total";"61,68"
"2505501";"Vista Serrana (PB)";"Total";"46,40"
"2505600";"Diamante (PB)";"Total";"61,79"
"2505709";"Dona Inês (PB)";"Total";"47,73"
"2505808";"Duas Estradas (PB)";"Total";"79,98"
"2505907";"Emas (PB)";"Total";"68,86"
"2506004";"Esperança (PB)";"Total";"71,30"
"2506103";"Fagundes (PB)";"Total";"50,43"
"2506202";"Frei Martinho (PB)";"Total";"60,94"
"2506251";"Gado Bravo (PB)";"Total";"12,74"
"2506301";"Guarabira (PB)";"Total";"89,12"
"2506400";"Gurinhém (PB)";"Total";"43,80"
"2506509";"Gurjão (PB)";"Total";"69,32"
"2506608";"Ibiara (PB)";"Total";"65,04"
"2506707";"Imaculada (PB)";"Total";"48,52"
"2506806";"Ingá (PB)";"Total";"65,64"
"2506905";"Itabaiana (PB)";"Total";"81,85"
"2507002";"Itaporanga (PB)";"Total";"78,52"
"2507101";"Itapororoca (PB)";"Total";"66,54"
"2507200";"Itatuba (PB)";"Total";"58,77"
"2507309";"Jacaraú (PB)";"Total";"60,02"
"2507408";"Jericó (PB)";"Total";"64,17"
"2507507";"João Pessoa (PB)";"Total";"99,63"
"2507606";"Juarez Távora (PB)";"Total";"80,11"
"2507705";"Juazeirinho (PB)";"Total";"57,91"
"2507804";"Junco do Seridó (PB)";"Total";"67,55"
"2507903";"Juripiranga (PB)";"Total";"93,90"
"2508000";"Juru (PB)";"Total";"46,59"
"2508109";"Lagoa (PB)";"Total";"51,41"
"2508208";"Lagoa de Dentro (PB)";"Total";"56,48"
"2508307";"Lagoa Seca (PB)";"Total";"41,42"
"2508406";"Lastro (PB)";"Total";"45,93"
"2508505";"Livramento (PB)";"Total";"56,68"
"2508554";"Logradouro (PB)";"Total";"45,56"
"2508604";"Lucena (PB)";"Total";"87,69"
"2508703";"Mãe d'Água (PB)";"Total";"40,27"
"2508802";"Malta (PB)";"Total";"89,09"
"2508901";"Mamanguape (PB)";"Total";"82,12"
"2509008";"Manaíra (PB)";"Total";"59,61"
"2509057";"Marcação (PB)";"Total";"40,39"
"2509107";"Mari (PB)";"Total";"83,69"
"2509156";"Marizópolis (PB)";"Total";"88,43"
"2509206";"Massaranduba (PB)";"Total";"37,88"
"2509305";"Mataraca (PB)";"Total";"88,70"
"2509339";"Matinhas (PB)";"Total";"16,37"
"2509370";"Mato Grosso (PB)";"Total";"45,48"
"2509396";"Maturéia (PB)";"Total";"68,52"
"2509404";"Mogeiro (PB)";"Total";"47,72"
"2509503";"Montadas (PB)";"Total";"64,57"
"2509602";"Monte Horebe (PB)";"Total";"59,76"
"2509701";"Monteiro (PB)";"Total";"66,90"
"2509800";"Mulungu (PB)";"Total";"49,93"
"2509909";"Natuba (PB)";"Total";"36,96"
"2510006";"Nazarezinho (PB)";"Total";"45,26"
"2510105";"Nova Floresta (PB)";"Total";"75,96"
"2510204";"Nova Olinda (PB)";"Total";"57,58"
"2510303";"Nova Palmeira (PB)";"Total";"60,69"
"2510402";"Olho d'Água (PB)";"Total";"58,45"
"2510501";"Olivedos (PB)";"Total";"53,07"
"2510600";"Ouro Velho (PB)";"Total";"70,67"
"2510659";"Parari (PB)";"Total";"57,46"
"2510709";"Passagem (PB)";"Total";"48,36"
"2510808";"Patos (PB)";"Total";"96,83"
"2510907";"Paulista (PB)";"Total";"51,21"
"2511004";"Pedra Branca (PB)";"Total";"66,13"
"2511103";"Pedra Lavrada (PB)";"Total";"43,01"
"2511202";"Pedras de Fogo (PB)";"Total";"62,66"
"2511301";"Piancó (PB)";"Total";"73,72"
"2511400";"Picuí (PB)";"Total";"68,30"
"2511509";"Pilar (PB)";"Total";"69,33"
"2511608";"Pilões (PB)";"Total";"51,92"
"2511707";"Pilõezinhos (PB)";"Total";"58,04"
"2511806";"Pirpirituba (PB)";"Total";"78,61"
"2511905";"Pitimbu (PB)";"Total";"62,85"
"2512002";"Pocinhos (PB)";"Total";"58,06"
"2512036";"Poço Dantas (PB)";"Total";"26,54"
"2512077";"Poço de José de Moura (PB)";"Total";"37,91"
"2512101";"Pombal (PB)";"Total";"81,13"
"2512200";"Prata (PB)";"Total";"65,65"
"2512309";"Princesa Isabel (PB)";"Total";"70,68"
"2512408";"Puxinanã (PB)";"Total";"34,31"
"2512507";"Queimadas (PB)";"Total";"54,94"
"2512606";"Quixaba (PB)";"Total";"40,70"
"2512705";"Remígio (PB)";"Total";"76,48"
"2512721";"Pedro Régis (PB)";"Total";"38,57"
"2512747";"Riachão (PB)";"Total";"66,02"
"2512754";"Riachão do Bacamarte (PB)";"Total";"61,85"
"2512762";"Riachão do Poço (PB)";"Total";"32,82"
"2512788";"Riacho de Santo Antônio (PB)";"Total";"69,13"
"2512804";"Riacho dos Cavalos (PB)";"Total";"48,72"
"2512903";"Rio Tinto (PB)";"Total";"59,11"
"2513000";"Salgadinho (PB)";"Total";"35,11"
"2513109";"Salgado de São Félix (PB)";"Total";"45,41"
"2513158";"Santa Cecília (PB)";"Total";"29,87"
"2513208";"Santa Cruz (PB)";"Total";"47,31"
"2513307";"Santa Helena (PB)";"Total";"54,09"
"2513356";"Santa Inês (PB)";"Total";"42,73"
"2513406";"Santa Luzia (PB)";"Total";"92,12"
"2513505";"Santana de Mangueira (PB)";"Total";"47,09"
"2513604";"Santana dos Garrotes (PB)";"Total";"55,42"
"2513653";"Joca Claudino (PB)";"Total";"30,93"
"2513703";"Santa Rita (PB)";"Total";"86,88"
"2513802";"Santa Teresinha (PB)";"Total";"51,27"
"2513851";"Santo André (PB)";"Total";"33,88"
"2513901";"São Bento (PB)";"Total";"81,80"
"2513927";"São Bentinho (PB)";"Total";"68,56"
"2513943";"São Domingos do Cariri (PB)";"Total";"45,61"
"2513968";"São Domingos (PB)";"Total";"36,12"
"2513984";"São Francisco (PB)";"Total";"39,14"
"2514008";"São João do Cariri (PB)";"Total";"55,70"
"2514107";"São João do Tigre (PB)";"Total";"36,26"
"2514206";"São José da Lagoa Tapada (PB)";"Total";"45,07"
"2514305";"São José de Caiana (PB)";"Total";"50,00"
"2514404";"São José de Espinharas (PB)";"Total";"37,13"
"2514453";"São José dos Ramos (PB)";"Total";"44,31"
"2514503";"São José de Piranhas (PB)";"Total";"59,10"
"2514552";"São José de Princesa (PB)";"Total";"17,67"
"2514602";"São José do Bonfim (PB)";"Total";"44,27"
"2514651";"São José do Brejo do Cruz (PB)";"Total";"58,06"
"2514701";"São José do Sabugi (PB)";"Total";"65,96"
"2514800";"São José dos Cordeiros (PB)";"Total";"42,80"
"2514909";"São Mamede (PB)";"Total";"78,26"
"2515005";"São Miguel de Taipu (PB)";"Total";"45,57"
"2515104";"São Sebastião de Lagoa de Roça (PB)";"Total";"44,67"
"2515203";"São Sebastião do Umbuzeiro (PB)";"Total";"67,15"
"2515302";"Sapé (PB)";"Total";"77,90"
"2515401";"São Vicente do Seridó (PB)";"Total";"47,52"
"2515500";"Serra Branca (PB)";"Total";"65,76"
"2515609";"Serra da Raiz (PB)";"Total";"68,30"
"2515708";"Serra Grande (PB)";"Total";"64,23"
"2515807";"Serra Redonda (PB)";"Total";"54,35"
"2515906";"Serraria (PB)";"Total";"59,04"
"2515930";"Sertãozinho (PB)";"Total";"76,50"
"2515971";"Sobrado (PB)";"Total";"12,56"
"2516003";"Solânea (PB)";"Total";"73,32"
"2516102";"Soledade (PB)";"Total";"75,12"
"2516151";"Sossêgo (PB)";"Total";"53,54"
"2516201";"Sousa (PB)";"Total";"79,13"
"2516300";"Sumé (PB)";"Total";"77,29"
"2516409";"Tacima (PB)";"Total";"43,50"
"2516508";"Taperoá (PB)";"Total";"63,43"
"2516607";"Tavares (PB)";"Total";"50,21"
"2516706";"Teixeira (PB)";"Total";"70,87"
"2516755";"Tenório (PB)";"Total";"62,65"
"2516805";"Triunfo (PB)";"Total";"48,75"
"2516904";"Uiraúna (PB)";"Total";"71,12"
"2517001";"Umbuzeiro (PB)";"Total";"45,54"
"2517100";"Várzea (PB)";"Total";"74,12"
"2517209";"Vieirópolis (PB)";"Total";"19,92"
"2517407";"Zabelê (PB)";"Total";"72,73"
"2600054";"Abreu e Lima (PE)";"Total";"92,12"
"2600104";"Afogados da Ingazeira (PE)";"Total";"79,61"
"2600203";"Afrânio (PE)";"Total";"35,37"
"2600302";"Agrestina (PE)";"Total";"75,72"
"2600401";"Água Preta (PE)";"Total";"59,38"
"2600500";"Águas Belas (PE)";"Total";"64,09"
"2600609";"Alagoinha (PE)";"Total";"58,68"
"2600708";"Aliança (PE)";"Total";"55,01"
"2600807";"Altinho (PE)";"Total";"59,28"
"2600906";"Amaraji (PE)";"Total";"75,08"
"2601003";"Angelim (PE)";"Total";"61,71"
"2601052";"Araçoiaba (PE)";"Total";"84,45"
"2601102";"Araripina (PE)";"Total";"63,14"
"2601201";"Arcoverde (PE)";"Total";"91,81"
"2601300";"Barra de Guabiraba (PE)";"Total";"89,35"
"2601409";"Barreiros (PE)";"Total";"84,45"
"2601508";"Belém de Maria (PE)";"Total";"73,50"
"2601607";"Belém do São Francisco (PE)";"Total";"63,71"
"2601706";"Belo Jardim (PE)";"Total";"81,74"
"2601805";"Betânia (PE)";"Total";"32,81"
"2601904";"Bezerros (PE)";"Total";"85,89"
"2602001";"Bodocó (PE)";"Total";"39,22"
"2602100";"Bom Conselho (PE)";"Total";"68,01"
"2602209";"Bom Jardim (PE)";"Total";"42,19"
"2602308";"Bonito (PE)";"Total";"72,46"
"2602407";"Brejão (PE)";"Total";"41,58"
"2602506";"Brejinho (PE)";"Total";"49,74"
"2602605";"Brejo da Madre de Deus (PE)";"Total";"77,98"
"2602704";"Buenos Aires (PE)";"Total";"64,23"
"2602803";"Buíque (PE)";"Total";"43,57"
"2602902";"Cabo de Santo Agostinho (PE)";"Total";"91,43"
"2603009";"Cabrobó (PE)";"Total";"65,86"
"2603108";"Cachoeirinha (PE)";"Total";"82,54"
"2603207";"Caetés (PE)";"Total";"31,07"
"2603306";"Calçado (PE)";"Total";"36,77"
"2603405";"Calumbi (PE)";"Total";"40,39"
"2603454";"Camaragibe (PE)";"Total";"100,00"
"2603504";"Camocim de São Félix (PE)";"Total";"84,36"
"2603603";"Camutanga (PE)";"Total";"81,32"
"2603702";"Canhotinho (PE)";"Total";"59,31"
"2603801";"Capoeiras (PE)";"Total";"34,78"
"2603900";"Carnaíba (PE)";"Total";"42,97"
"2603926";"Carnaubeira da Penha (PE)";"Total";"18,97"
"2604007";"Carpina (PE)";"Total";"96,49"
"2604106";"Caruaru (PE)";"Total";"89,10"
"2604155";"Casinhas (PE)";"Total";"13,16"
"2604205";"Catende (PE)";"Total";"78,94"
"2604304";"Cedro (PE)";"Total";"62,12"
"2604403";"Chã de Alegria (PE)";"Total";"78,49"
"2604502";"Chã Grande (PE)";"Total";"68,33"
"2604601";"Condado (PE)";"Total";"93,01"
"2604700";"Correntes (PE)";"Total";"59,15"
"2604809";"Cortês (PE)";"Total";"64,59"
"2604908";"Cumaru (PE)";"Total";"50,16"
"2605004";"Cupira (PE)";"Total";"89,73"
"2605103";"Custódia (PE)";"Total";"64,67"
"2605152";"Dormentes (PE)";"Total";"39,88"
"2605202";"Escada (PE)";"Total";"86,77"
"2605301";"Exu (PE)";"Total";"54,03"
"2605400";"Feira Nova (PE)";"Total";"81,39"
"2605459";"Fernando de Noronha (PE)";"Total";"100,00"
"2605509";"Ferreiros (PE)";"Total";"81,75"
"2605608";"Flores (PE)";"Total";"44,27"
"2605707";"Floresta (PE)";"Total";"69,92"
"2605806";"Frei Miguelinho (PE)";"Total";"24,01"
"2605905";"Gameleira (PE)";"Total";"73,16"
"2606002";"Garanhuns (PE)";"Total";"90,02"
"2606101";"Glória do Goitá (PE)";"Total";"55,61"
"2606200";"Goiana (PE)";"Total";"78,04"
"2606309";"Granito (PE)";"Total";"47,76"
"2606408";"Gravatá (PE)";"Total";"90,20"
"2606507";"Iati (PE)";"Total";"45,32"
"2606606";"Ibimirim (PE)";"Total";"58,23"
"2606705";"Ibirajuba (PE)";"Total";"45,81"
"2606804";"Igarassu (PE)";"Total";"92,36"
"2606903";"Iguaracy (PE)";"Total";"53,22"
"2607000";"Inajá (PE)";"Total";"48,07"
"2607109";"Ingazeira (PE)";"Total";"54,96"
"2607208";"Ipojuca (PE)";"Total";"76,44"
"2607307";"Ipubi (PE)";"Total";"64,39"
"2607406";"Itacuruba (PE)";"Total";"85,03"
"2607505";"Itaíba (PE)";"Total";"40,49"
"2607604";"Ilha de Itamaracá (PE)";"Total";"93,45"
"2607653";"Itambé (PE)";"Total";"84,56"
"2607703";"Itapetim (PE)";"Total";"63,58"
"2607752";"Itapissuma (PE)";"Total";"81,99"
"2607802";"Itaquitinga (PE)";"Total";"76,66"
"2607901";"Jaboatão dos Guararapes (PE)";"Total";"97,96"
"2607950";"Jaqueira (PE)";"Total";"64,98"
"2608008";"Jataúba (PE)";"Total";"59,69"
"2608057";"Jatobá (PE)";"Total";"44,40"
"2608107";"João Alfredo (PE)";"Total";"51,72"
"2608206";"Joaquim Nabuco (PE)";"Total";"74,96"
"2608255";"Jucati (PE)";"Total";"28,14"
"2608305";"Jupi (PE)";"Total";"63,93"
"2608404";"Jurema (PE)";"Total";"64,54"
"2608453";"Lagoa do Carro (PE)";"Total";"73,30"
"2608503";"Lagoa de Itaenga (PE)";"Total";"84,79"
"2608602";"Lagoa do Ouro (PE)";"Total";"51,32"
"2608701";"Lagoa dos Gatos (PE)";"Total";"58,75"
"2608750";"Lagoa Grande (PE)";"Total";"47,62"
"2608800";"Lajedo (PE)";"Total";"73,71"
"2608909";"Limoeiro (PE)";"Total";"80,78"
"2609006";"Macaparana (PE)";"Total";"64,78"
"2609105";"Machados (PE)";"Total";"66,55"
"2609154";"Manari (PE)";"Total";"24,51"
"2609204";"Maraial (PE)";"Total";"70,75"
"2609303";"Mirandiba (PE)";"Total";"51,28"
"2609402";"Moreno (PE)";"Total";"89,47"
"2609501";"Nazaré da Mata (PE)";"Total";"89,15"
"2609600";"Olinda (PE)";"Total";"98,13"
"2609709";"Orobó (PE)";"Total";"38,97"
"2609808";"Orocó (PE)";"Total";"36,68"
"2609907";"Ouricuri (PE)";"Total";"53,49"
"2610004";"Palmares (PE)";"Total";"79,85"
"2610103";"Palmeirina (PE)";"Total";"66,94"
"2610202";"Panelas (PE)";"Total";"57,80"
"2610301";"Paranatama (PE)";"Total";"20,96"
"2610400";"Parnamirim (PE)";"Total";"43,94"
"2610509";"Passira (PE)";"Total";"49,89"
"2610608";"Paudalho (PE)";"Total";"71,25"
"2610707";"Paulista (PE)";"Total";"100,00"
"2610806";"Pedra (PE)";"Total";"59,73"
"2610905";"Pesqueira (PE)";"Total";"74,17"
"2611002";"Petrolândia (PE)";"Total";"73,55"
"2611101";"Petrolina (PE)";"Total";"76,23"
"2611200";"Poção (PE)";"Total";"65,35"
"2611309";"Pombos (PE)";"Total";"68,06"
"2611408";"Primavera (PE)";"Total";"64,75"
"2611507";"Quipapá (PE)";"Total";"51,82"
"2611533";"Quixaba (PE)";"Total";"39,52"
"2611606";"Recife (PE)";"Total";"100,00"
"2611705";"Riacho das Almas (PE)";"Total";"47,50"
"2611804";"Ribeirão (PE)";"Total";"79,98"
"2611903";"Rio Formoso (PE)";"Total";"64,12"
"2612000";"Sairé (PE)";"Total";"58,73"
"2612109";"Salgadinho (PE)";"Total";"34,64"
"2612208";"Salgueiro (PE)";"Total";"81,45"
"2612307";"Saloá (PE)";"Total";"51,94"
"2612406";"Sanharó (PE)";"Total";"60,26"
"2612455";"Santa Cruz (PE)";"Total";"36,96"
"2612471";"Santa Cruz da Baixa Verde (PE)";"Total";"47,95"
"2612505";"Santa Cruz do Capibaribe (PE)";"Total";"97,61"
"2612554";"Santa Filomena (PE)";"Total";"18,59"
"2612604";"Santa Maria da Boa Vista (PE)";"Total";"38,82"
"2612703";"Santa Maria do Cambucá (PE)";"Total";"26,29"
"2612802";"Santa Terezinha (PE)";"Total";"64,69"
"2612901";"São Benedito do Sul (PE)";"Total";"55,93"
"2613008";"São Bento do Una (PE)";"Total";"54,78"
"2613107";"São Caitano (PE)";"Total";"78,40"
"2613206";"São João (PE)";"Total";"47,13"
"2613305";"São Joaquim do Monte (PE)";"Total";"71,43"
"2613404";"São José da Coroa Grande (PE)";"Total";"75,28"
"2613503";"São José do Belmonte (PE)";"Total";"52,71"
"2613602";"São José do Egito (PE)";"Total";"67,27"
"2613701";"São Lourenço da Mata (PE)";"Total";"94,25"
"2613800";"São Vicente Férrer (PE)";"Total";"67,49"
"2613909";"Serra Talhada (PE)";"Total";"78,87"
"2614006";"Serrita (PE)";"Total";"35,31"
"2614105";"Sertânia (PE)";"Total";"58,18"
"2614204";"Sirinhaém (PE)";"Total";"56,04"
"2614303";"Moreilândia (PE)";"Total";"63,80"
"2614402";"Solidão (PE)";"Total";"32,94"
"2614501";"Surubim (PE)";"Total";"75,94"
"2614600";"Tabira (PE)";"Total";"76,12"
"2614709";"Tacaimbó (PE)";"Total";"56,86"
"2614808";"Tacaratu (PE)";"Total";"43,64"
"2614857";"Tamandaré (PE)";"Total";"76,36"
"2615003";"Taquaritinga do Norte (PE)";"Total";"72,56"
"2615102";"Terezinha (PE)";"Total";"44,30"
"2615201";"Terra Nova (PE)";"Total";"54,94"
"2615300";"Timbaúba (PE)";"Total";"87,97"
"2615409";"Toritama (PE)";"Total";"96,16"
"2615508";"Tracunhaém (PE)";"Total";"84,84"
"2615607";"Trindade (PE)";"Total";"86,84"
"2615706";"Triunfo (PE)";"Total";"56,32"
"2615805";"Tupanatinga (PE)";"Total";"38,71"
"2615904";"Tuparetama (PE)";"Total";"81,21"
"2616001";"Venturosa (PE)";"Total";"67,11"
"2616100";"Verdejante (PE)";"Total";"29,51"
"2616183";"Vertente do Lério (PE)";"Total";"24,20"
"2616209";"Vertentes (PE)";"Total";"72,77"
"2616308";"Vicência (PE)";"Total";"47,09"
"2616407";"Vitória de Santo Antão (PE)";"Total";"88,29"
"2616506";"Xexéu (PE)";"Total";"67,43"
"2700102";"Água Branca (AL)";"Total";"28,76"
"2700201";"Anadia (AL)";"Total";"53,81"
"2700300";"Arapiraca (AL)";"Total";"85,24"
"2700409";"Atalaia (AL)";"Total";"52,50"
"2700508";"Barra de Santo Antônio (AL)";"Total";"93,69"
"2700607";"Barra de São Miguel (AL)";"Total";"87,73"
"2700706";"Batalha (AL)";"Total";"71,70"
"2700805";"Belém (AL)";"Total";"40,75"
"2700904";"Belo Monte (AL)";"Total";"17,80"
"2701001";"Boca da Mata (AL)";"Total";"68,37"
"2701100";"Branquinha (AL)";"Total";"62,27"
"2701209";"Cacimbinhas (AL)";"Total";"54,57"
"2701308";"Cajueiro (AL)";"Total";"81,79"
"2701357";"Campestre (AL)";"Total";"85,61"
"2701407";"Campo Alegre (AL)";"Total";"46,15"
"2701506";"Campo Grande (AL)";"Total";"49,07"
"2701605";"Canapi (AL)";"Total";"35,23"
"2701704";"Capela (AL)";"Total";"76,27"
"2701803";"Carneiros (AL)";"Total";"58,77"
"2701902";"Chã Preta (AL)";"Total";"65,25"
"2702009";"Coité do Nóia (AL)";"Total";"35,40"
"2702108";"Colônia Leopoldina (AL)";"Total";"78,15"
"2702207";"Coqueiro Seco (AL)";"Total";"90,58"
"2702306";"Coruripe (AL)";"Total";"88,96"
"2702355";"Craíbas (AL)";"Total";"34,37"
"2702405";"Delmiro Gouveia (AL)";"Total";"73,60"
"2702504";"Dois Riachos (AL)";"Total";"51,39"
"2702553";"Estrela de Alagoas (AL)";"Total";"24,58"
"2702603";"Feira Grande (AL)";"Total";"17,29"
"2702702";"Feliz Deserto (AL)";"Total";"80,20"
"2702801";"Flexeiras (AL)";"Total";"63,37"
"2702900";"Girau do Ponciano (AL)";"Total";"32,72"
"2703007";"Ibateguara (AL)";"Total";"63,33"
"2703106";"Igaci (AL)";"Total";"26,07"
"2703205";"Igreja Nova (AL)";"Total";"21,70"
"2703304";"Inhapi (AL)";"Total";"43,48"
"2703403";"Jacaré dos Homens (AL)";"Total";"57,85"
"2703502";"Jacuípe (AL)";"Total";"64,57"
"2703601";"Japaratinga (AL)";"Total";"44,91"
"2703700";"Jaramataia (AL)";"Total";"55,10"
"2703759";"Jequiá da Praia (AL)";"Total";"27,03"
"2703809";"Joaquim Gomes (AL)";"Total";"62,48"
"2703908";"Jundiá (AL)";"Total";"68,06"
"2704005";"Junqueiro (AL)";"Total";"32,23"
"2704104";"Lagoa da Canoa (AL)";"Total";"49,87"
"2704203";"Limoeiro de Anadia (AL)";"Total";"9,33"
"2704302";"Maceió (AL)";"Total";"99,94"
"2704401";"Major Isidoro (AL)";"Total";"50,82"
"2704500";"Maragogi (AL)";"Total";"66,30"
"2704609";"Maravilha (AL)";"Total";"53,66"
"2704708";"Marechal Deodoro (AL)";"Total";"94,89"
"2704807";"Maribondo (AL)";"Total";"73,83"
"2704906";"Mar Vermelho (AL)";"Total";"45,18"
"2705002";"Mata Grande (AL)";"Total";"26,21"
"2705101";"Matriz de Camaragibe (AL)";"Total";"93,08"
"2705200";"Messias (AL)";"Total";"89,97"
"2705309";"Minador do Negrão (AL)";"Total";"44,04"
"2705408";"Monteirópolis (AL)";"Total";"39,98"
"2705507";"Murici (AL)";"Total";"83,07"
"2705606";"Novo Lino (AL)";"Total";"62,90"
"2705705";"Olho d'Água das Flores (AL)";"Total";"71,32"
"2705804";"Olho d'Água do Casado (AL)";"Total";"51,98"
"2705903";"Olho d'Água Grande (AL)";"Total";"26,79"
"2706000";"Olivença (AL)";"Total";"29,09"
"2706109";"Ouro Branco (AL)";"Total";"67,16"
"2706208";"Palestina (AL)";"Total";"66,51"
"2706307";"Palmeira dos Índios (AL)";"Total";"74,39"
"2706406";"Pão de Açúcar (AL)";"Total";"47,93"
"2706422";"Pariconha (AL)";"Total";"28,74"
"2706448";"Paripueira (AL)";"Total";"88,76"
