Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-02-06,06/02/2020,Amapá,0.2773024048014924,0.2773024048014924
2020-02-07,07/02/2020,Amapá,0.2538635811958897,0.2538635811958897
2020-02-08,08/02/2020,Amapá,0.3055116194184208,0.3055116194184208
2020-02-09,09/02/2020,Amapá,0.395824720959074,0.395824720959074
2020-02-10,10/02/2020,Amapá,0.2276362129687177,0.2276362129687177
2020-02-11,11/02/2020,Amapá,0.2450811460629133,0.2450811460629133
2020-02-12,12/02/2020,Amapá,0.2490996398559424,0.2490996398559424
2020-02-13,13/02/2020,Amapá,0.2694225824047378,0.2694225824047378
2020-02-14,14/02/2020,Amapá,0.2703475841529841,0.2703475841529841
2020-02-15,15/02/2020,Amapá,0.3377527216174184,0.3377527216174184
2020-02-16,16/02/2020,Amapá,0.4097903792560282,0.4097903792560282
2020-02-17,17/02/2020,Amapá,0.2453575500895912,0.2453575500895912
2020-02-18,18/02/2020,Amapá,0.2752780086271716,0.2752780086271716
2020-02-19,19/02/2020,Amapá,0.3096883156763397,0.3096883156763397
2020-02-20,20/02/2020,Amapá,0.2674351139132789,0.2674351139132789
2020-02-21,21/02/2020,Amapá,0.2606647878624098,0.2606647878624098
2020-02-22,22/02/2020,Amapá,0.3330444374409077,0.3330444374409077
2020-02-23,23/02/2020,Amapá,0.4130452845866224,0.4130452845866224
2020-02-24,24/02/2020,Amapá,0.3610609295450813,0.3610609295450813
2020-02-25,25/02/2020,Amapá,0.4414958286169455,0.4414958286169455
2020-02-26,26/02/2020,Amapá,0.3828631223085282,0.3828631223085282
2020-02-27,27/02/2020,Amapá,0.276604208935036,0.276604208935036
2020-02-28,28/02/2020,Amapá,0.2680448630270819,0.2680448630270819
2020-02-29,29/02/2020,Amapá,0.3220802563200875,0.3220802563200875
2020-03-01,01/03/2020,Amapá,0.4396329108895158,0.4396329108895158
2020-03-02,02/03/2020,Amapá,0.2793512751204607,0.2793512751204607
2020-03-03,03/03/2020,Amapá,0.3071771842747971,0.3071771842747971
2020-03-04,04/03/2020,Amapá,0.3207730218479569,0.3207730218479569
2020-03-05,05/03/2020,Amapá,0.3138503086419754,0.3138503086419754
2020-03-06,06/03/2020,Amapá,0.3005552364541451,0.3005552364541451
2020-03-07,07/03/2020,Amapá,0.3287077854870242,0.3287077854870242
2020-03-08,08/03/2020,Amapá,0.426171320397539,0.426171320397539
2020-03-09,09/03/2020,Amapá,0.3062243213147487,0.3062243213147487
2020-03-10,10/03/2020,Amapá,0.3074448355474812,0.3074448355474812
2020-03-11,11/03/2020,Amapá,0.2940244454504301,0.2940244454504301
2020-03-12,12/03/2020,Amapá,0.3046554514320124,0.3046554514320124
2020-03-13,13/03/2020,Amapá,0.3115850014938752,0.3115850014938752
2020-03-14,14/03/2020,Amapá,0.3640937077639285,0.3640937077639285
2020-03-15,15/03/2020,Amapá,0.465350382836488,0.465350382836488
2020-03-16,16/03/2020,Amapá,0.3293088297100065,0.3293088297100065
2020-03-17,17/03/2020,Amapá,0.3417563267161691,0.3417563267161691
2020-03-18,18/03/2020,Amapá,0.3815654939978036,0.3815654939978036
2020-03-19,19/03/2020,Amapá,0.4672893618650232,0.4672893618650232
2020-03-20,20/03/2020,Amapá,0.4390926041019267,0.4390926041019267
2020-03-21,21/03/2020,Amapá,0.5654089782429084,0.5654089782429084
2020-03-22,22/03/2020,Amapá,0.6316418648748918,0.6316418648748918
2020-03-23,23/03/2020,Amapá,0.5419293066304957,0.5419293066304957
2020-03-24,24/03/2020,Amapá,0.555322848336363,0.555322848336363
2020-03-25,25/03/2020,Amapá,0.5400463245154212,0.5400463245154212
2020-03-26,26/03/2020,Amapá,0.5401497857343106,0.5401497857343106
2020-03-27,27/03/2020,Amapá,0.5228426395939086,0.5228426395939086
2020-03-28,28/03/2020,Amapá,0.5391203607927512,0.5391203607927512
2020-03-29,29/03/2020,Amapá,0.5867418302038742,0.5867418302038742
2020-03-30,30/03/2020,Amapá,0.5027557140541418,0.5027557140541418
2020-03-31,31/03/2020,Amapá,0.4932008794072144,0.4932008794072144
2020-04-01,01/04/2020,Amapá,0.463888888888889,0.463888888888889
2020-04-02,02/04/2020,Amapá,0.4896183737385454,0.4896183737385454
2020-04-03,03/04/2020,Amapá,0.4869438308614706,0.4869438308614706
2020-04-04,04/04/2020,Amapá,0.499045064813686,0.499045064813686
2020-04-05,05/04/2020,Amapá,0.5647466435686446,0.5647466435686446
2020-04-06,06/04/2020,Amapá,0.4776040394168906,0.4776040394168906
2020-04-07,07/04/2020,Amapá,0.4695126767237976,0.4695126767237976
2020-04-08,08/04/2020,Amapá,0.4733585956229218,0.4733585956229218
2020-04-09,09/04/2020,Amapá,0.4611591593942004,0.4611591593942004
2020-04-10,10/04/2020,Amapá,0.56844334345533,0.56844334345533
2020-04-11,11/04/2020,Amapá,0.4828791897757416,0.4828791897757416
2020-04-12,12/04/2020,Amapá,0.5624148887880164,0.5624148887880164
2020-04-13,13/04/2020,Amapá,0.4835561550362996,0.4835561550362996
2020-04-14,14/04/2020,Amapá,0.4799229165847328,0.4799229165847328
2020-04-15,15/04/2020,Amapá,0.4714136206829722,0.4714136206829722
2020-04-16,16/04/2020,Amapá,0.45489443378119,0.45489443378119
2020-04-17,17/04/2020,Amapá,0.4474790711769386,0.4474790711769386
2020-04-18,18/04/2020,Amapá,0.4782591995083352,0.4782591995083352
2020-04-19,19/04/2020,Amapá,0.5636912779070242,0.5636912779070242
2020-04-20,20/04/2020,Amapá,0.4631481050918392,0.4631481050918392
2020-04-21,21/04/2020,Amapá,0.4987643055397134,0.4987643055397134
2020-04-22,22/04/2020,Amapá,0.4567219152854512,0.4567219152854512
